Year,Species,SpGroup,Catch/Capture(t)
2005,Kawakawa,TUNAS,1008.18111530172
2005,Longtail tuna,TUNAS,37.0681956898164
2005,Skipjack tuna,TUNAS,12.897171027546
2005,Yellowfin tuna,TUNAS,208.415162357971
2005,Albacore,TUNAS,25.306875217799
2005,Bigeye tuna,TUNAS,1262.38257216395
2005,Black Marlin,BILLFISH,7.82975387768596
2005,Blue Marlin,BILLFISH,67.4912815282587
2005,Striped marlin,BILLFISH,26.7187789288677
2005,Indo-Pacific sailfish,BILLFISH,2.69112314611419
2005,Skipjack tuna,TUNAS,0.401656152829917
2005,Swordfish,BILLFISH,238.046890258789
2005,Yellowfin tuna,TUNAS,2320.11397463513
2005,Bigeye tuna,TUNAS,37.7755417659365
2005,Black Marlin,BILLFISH,4.67550318982313
2005,Bullet tuna,TUNAS,166.399612883624
2005,Frigate tuna,TUNAS,142.299623225285
2005,Indo-Pacific king mackerel,SEERFISH,0.857009682234429
2005,Kawakawa,TUNAS,589.482947198276
2005,Skipjack tuna,TUNAS,959.428945534344
2005,Yellowfin tuna,TUNAS,1957.12162658246
2005,Blue Marlin,BILLFISH,0.0799999982118607
2005,Skipjack tuna,TUNAS,0.155000001192093
2005,Swordfish,BILLFISH,0.0199999995529652
2005,Yellowfin tuna,TUNAS,11.7150001525878
2005,Bullet tuna,TUNAS,309.555145263671
2005,Narrow-barred Spanish mackerel,SEERFISH,683.738891601562
2005,Frigate tuna,TUNAS,2872.580078125
2005,Indo-Pacific king mackerel,SEERFISH,296.326507568359
2005,Kawakawa,TUNAS,6282.66455078125
2005,Longtail tuna,TUNAS,1184.61242675781
2005,Skipjack tuna,TUNAS,0.803304135799407
2005,Yellowfin tuna,TUNAS,22.7850379943847
2005,Bullet tuna,TUNAS,2.09262537956237
2005,Frigate tuna,TUNAS,1.65323996543884
2005,Kawakawa,TUNAS,54.6113967895507
2005,Longtail tuna,TUNAS,3.90103697776794
2005,Bullet tuna,TUNAS,0.733497560024261
2005,Narrow-barred Spanish mackerel,SEERFISH,5718.54345703125
2005,Frigate tuna,TUNAS,1.34802651405334
2005,Indo-Pacific king mackerel,SEERFISH,2478.3671875
2005,Kawakawa,TUNAS,15.5646896362304
2005,Longtail tuna,TUNAS,86.3507690429687
2005,Skipjack tuna,TUNAS,8.47690391540527
2005,Yellowfin tuna,TUNAS,32.2776336669921
2005,Bigeye tuna,TUNAS,77.5392699406065
2005,Black Marlin,BILLFISH,2.2755577013283
2005,Bullet tuna,TUNAS,390.488644690217
2005,Narrow-barred Spanish mackerel,SEERFISH,1305.31970214844
2005,Frigate tuna,TUNAS,1.27526593208312
2005,Indo-Pacific king mackerel,SEERFISH,532.131098915895
2005,Kawakawa,TUNAS,0.15369775891304
2005,Longtail tuna,TUNAS,15.4866863597442
2005,Skipjack tuna,TUNAS,4551.29443359375
2005,Yellowfin tuna,TUNAS,2533.04736328125
2005,Kawakawa,TUNAS,824.588500976562
2005,Longtail tuna,TUNAS,3.60913372039794
2005,Skipjack tuna,TUNAS,130.294998168945
2005,Yellowfin tuna,TUNAS,372.075714111328
2005,Albacore,TUNAS,62.0103340148925
2005,Bigeye tuna,TUNAS,165.812179565429
2005,Black Marlin,BILLFISH,20.0029654115563
2005,Blue Marlin,BILLFISH,57.7985119337201
2005,Striped marlin,BILLFISH,21.9714554280027
2005,Indo-Pacific sailfish,BILLFISH,1.52476906235326
2005,Swordfish,BILLFISH,54.7676925659179
2005,Yellowfin tuna,TUNAS,279.046936035156
2005,Black Marlin,BILLFISH,192.409469604492
2005,Bullet tuna,TUNAS,64.8191986083984
2005,Narrow-barred Spanish mackerel,SEERFISH,5647.86767578125
2005,Frigate tuna,TUNAS,2623.93774414062
2005,Indo-Pacific king mackerel,SEERFISH,2447.73706054687
2005,Kawakawa,TUNAS,3100.841796875
2005,Longtail tuna,TUNAS,245.174438476562
2005,Indo-Pacific sailfish,BILLFISH,863.90087890625
2005,Skipjack tuna,TUNAS,505.802673339843
2005,Swordfish,BILLFISH,120.623672485351
2005,Yellowfin tuna,TUNAS,1062.96801757812
2005,Black Marlin,BILLFISH,7.03154485695364
2005,Bullet tuna,TUNAS,3.2008865190133
2005,Indo-Pacific king mackerel,SEERFISH,17.1883988293167
2005,Kawakawa,TUNAS,252.571540722523
2005,Longtail tuna,TUNAS,142.994634882705
2005,Indo-Pacific sailfish,BILLFISH,126.182658257357
2005,Swordfish,BILLFISH,131.040145874023
2005,Albacore,TUNAS,7.52725705476019
2005,Bigeye tuna,TUNAS,700.700371126798
2005,Black Marlin,BILLFISH,6.59511641315364
2005,Blue Marlin,BILLFISH,42.0763003719589
2005,Striped marlin,BILLFISH,20.9392311233518
2005,Indo-Pacific sailfish,BILLFISH,0.0108463847484765
2005,Skipjack tuna,TUNAS,0.273655754031397
2005,Swordfish,BILLFISH,144.068984985351
2005,Yellowfin tuna,TUNAS,1917.81079011472
2005,Bigeye tuna,TUNAS,115.314811706543
2005,Black Marlin,BILLFISH,210.214186601283
2005,Bullet tuna,TUNAS,31.7379268770082
2005,Narrow-barred Spanish mackerel,SEERFISH,685.579345703125
2005,Frigate tuna,TUNAS,250.799423217773
2005,Indo-Pacific king mackerel,SEERFISH,0.450118194828028
2005,Indo-Pacific sailfish,BILLFISH,860.639532899317
2005,Skipjack tuna,TUNAS,665.907348632812
2005,Swordfish,BILLFISH,8.7393017007155
2005,Yellowfin tuna,TUNAS,1966.56481933594
2005,Blue Marlin,BILLFISH,0.368999987840652
2005,Skipjack tuna,TUNAS,0.165999993681908
2005,Swordfish,BILLFISH,0.602999985218048
2005,Yellowfin tuna,TUNAS,11.2989997863769
2005,Narrow-barred Spanish mackerel,SEERFISH,359.112976074218
2005,Frigate tuna,TUNAS,15.4895868301391
2005,Indo-Pacific king mackerel,SEERFISH,155.636459350585
2005,Kawakawa,TUNAS,22.0298080444335
2005,Yellowfin tuna,TUNAS,12.492522239685
2005,Bullet tuna,TUNAS,1.83374392986297
2005,Frigate tuna,TUNAS,21.4921207427978
2005,Kawakawa,TUNAS,38.450927734375
2005,Skipjack tuna,TUNAS,8.920015335083
2005,Narrow-barred Spanish mackerel,SEERFISH,3003.49047851562
2005,Frigate tuna,TUNAS,1.42432987689971
2005,Indo-Pacific king mackerel,SEERFISH,1301.68676757812
2005,Kawakawa,TUNAS,3.16972303390502
2005,Skipjack tuna,TUNAS,19.7280673980712
2005,Yellowfin tuna,TUNAS,148.324920654296
2005,Black Marlin,BILLFISH,22.522876635025
2005,Bullet tuna,TUNAS,25.312662862018
2005,Frigate tuna,TUNAS,2046.80187988281
2005,Indo-Pacific king mackerel,SEERFISH,279.485628483668
2005,Kawakawa,TUNAS,2228.94776927503
2005,Longtail tuna,TUNAS,31.1574551899265
2005,Indo-Pacific sailfish,BILLFISH,89.7168560845372
2005,Skipjack tuna,TUNAS,0.903034627437591
2005,Swordfish,BILLFISH,10.5341987417894
2005,Yellowfin tuna,TUNAS,124.636199951171
2005,Narrow-barred Spanish mackerel,SEERFISH,5936
2005,Frigate tuna,TUNAS,289.001007080078
2005,Indo-Pacific king mackerel,SEERFISH,3088
2005,Kawakawa,TUNAS,11803
2005,Longtail tuna,TUNAS,17300
2005,Indo-Pacific sailfish,BILLFISH,2251.0244140625
2005,Yellowfin tuna,TUNAS,6396.82958984375
2005,Bigeye tuna,TUNAS,386.649536132812
2005,Black Marlin,BILLFISH,5124.80915941643
2005,Frigate tuna,TUNAS,1326.9990234375
2005,Striped marlin,BILLFISH,721.162398837048
2005,Indo-Pacific sailfish,BILLFISH,3576.83038266449
2005,Skipjack tuna,TUNAS,79436
2005,Swordfish,BILLFISH,913.173522949218
2005,Yellowfin tuna,TUNAS,28985.521484375
2005,Longtail tuna,TUNAS,1227
2005,Skipjack tuna,TUNAS,1214
2005,Yellowfin tuna,TUNAS,7271
2005,Narrow-barred Spanish mackerel,SEERFISH,228
2005,Yellowfin tuna,TUNAS,532
2005,Bullet tuna,TUNAS,0.000651090294391426
2005,Narrow-barred Spanish mackerel,SEERFISH,6
2005,Frigate tuna,TUNAS,4.74579715581911
2005,Kawakawa,TUNAS,38.3952462800622
2005,Longtail tuna,TUNAS,2
2005,Skipjack tuna,TUNAS,15.4053322944179
2005,Yellowfin tuna,TUNAS,2.00947938284948
2005,Frigate tuna,TUNAS,0.0916478636559699
2005,Kawakawa,TUNAS,0.589251886813076
2005,Skipjack tuna,TUNAS,11.1831604948334
2005,Yellowfin tuna,TUNAS,0.607342310013505
2005,Frigate tuna,TUNAS,0.161903890230532
2005,Kawakawa,TUNAS,1.01550183312476
2005,Skipjack tuna,TUNAS,28.4115072107487
2005,Yellowfin tuna,TUNAS,0.383178307137016
2005,Albacore,TUNAS,3646
2005,Bigeye tuna,TUNAS,10840
2005,Black Marlin,BILLFISH,84
2005,Blue Marlin,BILLFISH,442
2005,Striped marlin,BILLFISH,45
2005,Southern bluefin tuna,TUNAS,3328
2005,Indo-Pacific sailfish,BILLFISH,164
2005,Skipjack tuna,TUNAS,2.96762585639953
2005,Swordfish,BILLFISH,1348
2005,Yellowfin tuna,TUNAS,21178
2005,Bigeye tuna,TUNAS,64
2005,Skipjack tuna,TUNAS,389
2005,Yellowfin tuna,TUNAS,92
2005,Albacore,TUNAS,433
2005,Bigeye tuna,TUNAS,1704
2005,Black Marlin,BILLFISH,6
2005,Blue Marlin,BILLFISH,19
2005,Striped marlin,BILLFISH,29
2005,Southern bluefin tuna,TUNAS,2836
2005,Indo-Pacific sailfish,BILLFISH,1
2005,Skipjack tuna,TUNAS,0.0323740988969803
2005,Swordfish,BILLFISH,139
2005,Yellowfin tuna,TUNAS,314
2005,Bigeye tuna,TUNAS,785
2005,Skipjack tuna,TUNAS,2760
2005,Yellowfin tuna,TUNAS,802
2005,Albacore,TUNAS,1.94859313964843
2005,Bigeye tuna,TUNAS,15.4639453887939
2005,Black Marlin,BILLFISH,0.0282052904367447
2005,Blue Marlin,BILLFISH,0.0672556608915329
2005,Striped marlin,BILLFISH,0.46269628405571
2005,Indo-Pacific sailfish,BILLFISH,1.70911412627782
2005,Skipjack tuna,TUNAS,0.137667715549469
2005,Swordfish,BILLFISH,173.094398295159
2005,Narrow-barred Spanish mackerel,SEERFISH,95.7200775146484
2005,Frigate tuna,TUNAS,41.4464530944824
2005,Kawakawa,TUNAS,85.4304428100585
2005,Indo-Pacific sailfish,BILLFISH,52.6969680786132
2005,Skipjack tuna,TUNAS,41.4464530944824
2005,Yellowfin tuna,TUNAS,85.4304428100585
2005,Narrow-barred Spanish mackerel,SEERFISH,11.8255577087402
2005,Frigate tuna,TUNAS,6.88271856307983
2005,Kawakawa,TUNAS,14.1868286132812
2005,Indo-Pacific sailfish,BILLFISH,22.4242420196533
2005,Skipjack tuna,TUNAS,6.88271856307983
2005,Yellowfin tuna,TUNAS,14.1868286132812
2005,Bigeye tuna,TUNAS,0.00363245604580026
2005,Black Marlin,BILLFISH,6.63400579627237
2005,Blue Marlin,BILLFISH,0.0400302034148709
2005,Frigate tuna,TUNAS,2.69891492942346
2005,Indo-Pacific king mackerel,SEERFISH,9.4099998474121
2005,Kawakawa,TUNAS,3.920630756405
2005,Striped marlin,BILLFISH,0.275207660593573
2005,Indo-Pacific sailfish,BILLFISH,39.4367580272161
2005,Skipjack tuna,TUNAS,0.0496435668989892
2005,Swordfish,BILLFISH,1.62899994850158
2005,Yellowfin tuna,TUNAS,11.6371783248102
2005,Narrow-barred Spanish mackerel,SEERFISH,2.45436096191406
2005,Frigate tuna,TUNAS,6.55083084106445
2005,Kawakawa,TUNAS,13.5027332305908
2005,Indo-Pacific sailfish,BILLFISH,35.8787879943847
2005,Skipjack tuna,TUNAS,6.55083084106445
2005,Yellowfin tuna,TUNAS,13.5027332305908
2005,Albacore,TUNAS,1.84170925617218
2005,Bigeye tuna,TUNAS,14.6157207489013
2005,Black Marlin,BILLFISH,0.0266581792384386
2005,Blue Marlin,BILLFISH,0.0635665729641914
2005,Striped marlin,BILLFISH,0.437316566705704
2005,Indo-Pacific sailfish,BILLFISH,1.61536625877604
2005,Skipjack tuna,TUNAS,0.130116403102875
2005,Swordfish,BILLFISH,163.599894566344
2005,Albacore,TUNAS,143.523574829101
2005,Bigeye tuna,TUNAS,1956.91271972656
2005,Black Marlin,BILLFISH,5.2242317199707
2005,Blue Marlin,BILLFISH,59.5434226989746
2005,Striped marlin,BILLFISH,13.8789873123168
2005,Southern bluefin tuna,TUNAS,32
2005,Swordfish,BILLFISH,223.353363037109
2005,Yellowfin tuna,TUNAS,2667.56372070312
2005,Albacore,TUNAS,48
2005,Bigeye tuna,TUNAS,694
2005,Black Marlin,BILLFISH,63.7156219482421
2005,Blue Marlin,BILLFISH,129.900848388671
2005,Striped marlin,BILLFISH,13.5827875137329
2005,Swordfish,BILLFISH,56.8007469177246
2005,Yellowfin tuna,TUNAS,849
2005,Narrow-barred Spanish mackerel,SEERFISH,90
2005,Indo-Pacific king mackerel,SEERFISH,97
2005,Kawakawa,TUNAS,927.070739746093
2005,Skipjack tuna,TUNAS,927.070739746093
2005,Yellowfin tuna,TUNAS,463.535369873046
2005,Bigeye tuna,TUNAS,81.5822296142578
2005,Black Marlin,BILLFISH,5.56728649139404
2005,Bullet tuna,TUNAS,276.999481201171
2005,Blue Marlin,BILLFISH,1.91544902324676
2005,Narrow-barred Spanish mackerel,SEERFISH,2379.58911132812
2005,Frigate tuna,TUNAS,1467.07751464843
2005,Indo-Pacific king mackerel,SEERFISH,240.437927246093
2005,Kawakawa,TUNAS,2688.64794921875
2005,Indo-Pacific sailfish,BILLFISH,4.30078363418579
2005,Skipjack tuna,TUNAS,11394.03515625
2005,Swordfish,BILLFISH,1.2125232219696
2005,Yellowfin tuna,TUNAS,4908.109375
2005,Bigeye tuna,TUNAS,17.3307304382324
2005,Black Marlin,BILLFISH,1492.28552246093
2005,Bullet tuna,TUNAS,96.847183227539
2005,Blue Marlin,BILLFISH,395.773681640625
2005,Narrow-barred Spanish mackerel,SEERFISH,278.863983154296
2005,Frigate tuna,TUNAS,307.656616210937
2005,Kawakawa,TUNAS,483.713989257812
2005,Indo-Pacific sailfish,BILLFISH,2219.17651367187
2005,Skipjack tuna,TUNAS,32730.87890625
2005,Swordfish,BILLFISH,552.055786132812
2005,Yellowfin tuna,TUNAS,5906.04931640625
2005,Black Marlin,BILLFISH,8.862717628479
2005,Blue Marlin,BILLFISH,3.04925656318664
2005,Indo-Pacific sailfish,BILLFISH,6.84653663635253
2005,Skipjack tuna,TUNAS,0.941539129352841
2005,Swordfish,BILLFISH,1.93024933338165
2005,Yellowfin tuna,TUNAS,837.418741044285
2005,Bigeye tuna,TUNAS,40.1127967834472
2005,Black Marlin,BILLFISH,1398.37390136718
2005,Bullet tuna,TUNAS,224.157394409179
2005,Blue Marlin,BILLFISH,370.867095947265
2005,Frigate tuna,TUNAS,712.085815429687
2005,Kawakawa,TUNAS,1119.57897949218
2005,Indo-Pacific sailfish,BILLFISH,785.884399414062
2005,Skipjack tuna,TUNAS,1433.13720703125
2005,Swordfish,BILLFISH,1808.29333496093
2005,Yellowfin tuna,TUNAS,13669.8310546875
2005,Bigeye tuna,TUNAS,1473.57897949218
2005,Frigate tuna,TUNAS,2034.45678710937
2005,Kawakawa,TUNAS,514.98779296875
2005,Skipjack tuna,TUNAS,311.727783203125
2005,Yellowfin tuna,TUNAS,4367.19873046875
2005,Bullet tuna,TUNAS,114.725006103515
2005,Frigate tuna,TUNAS,2279.20336914062
2005,Kawakawa,TUNAS,127.472229003906
2005,Bullet tuna,TUNAS,71.3844451904296
2005,Frigate tuna,TUNAS,1022.32727050781
2005,Kawakawa,TUNAS,3661.48974609375
2005,Skipjack tuna,TUNAS,2464.03563372221
2005,Yellowfin tuna,TUNAS,2674.14607829165
2005,Albacore,TUNAS,58.1578941345214
2005,Bigeye tuna,TUNAS,50.7017555236816
2005,Black Marlin,BILLFISH,7.89473676681519
2005,Indo-Pacific sailfish,BILLFISH,2.63157892227172
2005,Swordfish,BILLFISH,100.350883483886
2005,Yellowfin tuna,TUNAS,53.8596496582031
2005,Albacore,TUNAS,8.63476085662841
2005,Bigeye tuna,TUNAS,89.2294082641601
2005,Black Marlin,BILLFISH,0.459771417768581
2005,Blue Marlin,BILLFISH,4.6082752636864
2005,Striped marlin,BILLFISH,2.09675241006341
2005,Indo-Pacific sailfish,BILLFISH,0.290346118509308
2005,Skipjack tuna,TUNAS,0.176506385207176
2005,Swordfish,BILLFISH,15.9666557312011
2005,Yellowfin tuna,TUNAS,129.956756591796
2005,Bigeye tuna,TUNAS,23.6137771606445
2005,Bullet tuna,TUNAS,46.926097869873
2005,Narrow-barred Spanish mackerel,SEERFISH,3648.61401367187
2005,Frigate tuna,TUNAS,470.655395507812
2005,Indo-Pacific king mackerel,SEERFISH,48.6441459655761
2005,Kawakawa,TUNAS,1340.23901367187
2005,Longtail tuna,TUNAS,523.674255371093
2005,Indo-Pacific sailfish,BILLFISH,921.55517578125
2005,Skipjack tuna,TUNAS,740.144409179687
2005,Yellowfin tuna,TUNAS,598.933837890625
2005,Albacore,TUNAS,9.11654186248779
2005,Bigeye tuna,TUNAS,15.2175312042236
2005,Black Marlin,BILLFISH,0.572321206854101
2005,Blue Marlin,BILLFISH,2.61761824974057
2005,Striped marlin,BILLFISH,1.65511516587999
2005,Indo-Pacific sailfish,BILLFISH,0.0026830921735911
2005,Skipjack tuna,TUNAS,0.061613917350769
2005,Swordfish,BILLFISH,3.58755779266357
2005,Yellowfin tuna,TUNAS,33.9040260314941
2005,Bigeye tuna,TUNAS,1046.77807617187
2005,Frigate tuna,TUNAS,4541.9365234375
2005,Kawakawa,TUNAS,1996.10400390625
2005,Skipjack tuna,TUNAS,130378.640625
2005,Yellowfin tuna,TUNAS,14878.97265625
2005,Frigate tuna,TUNAS,55.4256019592285
2005,Kawakawa,TUNAS,85.1026000976562
2005,Skipjack tuna,TUNAS,137.637588500976
2005,Yellowfin tuna,TUNAS,123.378799438476
2005,Frigate tuna,TUNAS,165.762532331197
2005,Kawakawa,TUNAS,175.76899923205
2005,Skipjack tuna,TUNAS,434.84751301379
2005,Yellowfin tuna,TUNAS,3575.03682922959
2005,Frigate tuna,TUNAS,1.27320003509521
2005,Kawakawa,TUNAS,1.48940002918243
2005,Skipjack tuna,TUNAS,2.04869985580444
2005,Yellowfin tuna,TUNAS,194.246261596679
2005,Frigate tuna,TUNAS,292.8338726981
2005,Kawakawa,TUNAS,444.300329076056
2005,Skipjack tuna,TUNAS,1107.0014135304
2005,Yellowfin tuna,TUNAS,1741.58741355301
2005,Yellowfin tuna,TUNAS,0.195999994874001
2005,Albacore,TUNAS,21.125
2005,Bigeye tuna,TUNAS,7.98999977111816
2005,Black Marlin,BILLFISH,2.25516392228702
2005,Striped marlin,BILLFISH,1.92983602049253
2005,Swordfish,BILLFISH,57.0950012207031
2005,Yellowfin tuna,TUNAS,27.0349998474121
2005,Albacore,TUNAS,18.5380001068115
2005,Bigeye tuna,TUNAS,42.0330009460449
2005,Black Marlin,BILLFISH,14.3889217649467
2005,Striped marlin,BILLFISH,0.820077868842328
2005,Swordfish,BILLFISH,544.359008789062
2005,Yellowfin tuna,TUNAS,29.2900009155273
2005,Black Marlin,BILLFISH,13.9183619481381
2005,Blue Marlin,BILLFISH,14.7950293458839
2005,Striped marlin,BILLFISH,1.43005316807961
2005,Indo-Pacific sailfish,BILLFISH,241.999225215633
2005,Skipjack tuna,TUNAS,217.417455701545
2005,Yellowfin tuna,TUNAS,591.787856073663
2005,Albacore,TUNAS,0.0300000011920929
2005,Bigeye tuna,TUNAS,0.00300000002607703
2005,Black Marlin,BILLFISH,1.14999997615814
2005,Swordfish,BILLFISH,6.77600002288818
2005,Yellowfin tuna,TUNAS,0.105000004172325
2005,Albacore,TUNAS,10
2005,Bigeye tuna,TUNAS,655.299987792968
2005,Black Marlin,BILLFISH,37.4512708811743
2005,Blue Marlin,BILLFISH,65.2974133561317
2005,Striped marlin,BILLFISH,23.4513127109362
2005,Indo-Pacific sailfish,BILLFISH,134.300003051757
2005,Swordfish,BILLFISH,162.199996948242
2005,Yellowfin tuna,TUNAS,2228.89990234375
2005,Narrow-barred Spanish mackerel,SEERFISH,839.967834472656
2005,Frigate tuna,TUNAS,0.363940834999084
2005,Indo-Pacific king mackerel,SEERFISH,382.181823730468
2005,Kawakawa,TUNAS,26.2938365936279
2005,Longtail tuna,TUNAS,553.212097167968
2005,Narrow-barred Spanish mackerel,SEERFISH,184.182479858398
2005,Frigate tuna,TUNAS,2.63605904579162
2005,Indo-Pacific king mackerel,SEERFISH,22.9157218933105
2005,Kawakawa,TUNAS,2799.51123046875
2005,Longtail tuna,TUNAS,8031.86669921875
2005,Narrow-barred Spanish mackerel,SEERFISH,840.458435058593
2005,Indo-Pacific king mackerel,SEERFISH,483.474304199218
2005,Kawakawa,TUNAS,37.0658340454101
2005,Longtail tuna,TUNAS,248.057098388671
2005,Narrow-barred Spanish mackerel,SEERFISH,50.2065544128417
2005,Indo-Pacific king mackerel,SEERFISH,10.6789464950561
2005,Kawakawa,TUNAS,0.129086121916771
2005,Longtail tuna,TUNAS,0.863888025283813
2005,Albacore,TUNAS,79.5604121685028
2005,Bigeye tuna,TUNAS,69.2907676696777
2005,Black Marlin,BILLFISH,1.11479178561107
2005,Blue Marlin,BILLFISH,3.16668638860489
2005,Striped marlin,BILLFISH,1.59137842785676
2005,Indo-Pacific sailfish,BILLFISH,23.7690196037292
